Field name;Date;Parameter name;Parameter value
Budrio_campo_safe_half;27/07/2020;TERRASCOPE_S2_NDVI_V2;0.834322581
Budrio_campo_safe_half;01/08/2020;TERRASCOPE_S2_NDVI_V2;0.745290323
Budrio_campo_safe_half;06/08/2020;TERRASCOPE_S2_NDVI_V2;0.839096774
Budrio_campo_safe_half;11/08/2020;TERRASCOPE_S2_NDVI_V2;0.76283871
Budrio_campo_safe_half;16/08/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;21/08/2020;TERRASCOPE_S2_NDVI_V2;0.761806452
Budrio_campo_safe_half;26/08/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;05/09/2020;TERRASCOPE_S2_NDVI_V2;0.500129032
Budrio_campo_safe_half;10/09/2020;TERRASCOPE_S2_NDVI_V2;0.065935484
Budrio_campo_safe_half;15/09/2020;TERRASCOPE_S2_NDVI_V2;0.108516129
Budrio_campo_safe_half;20/09/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;25/09/2020;TERRASCOPE_S2_NDVI_V2;0.124903226
Budrio_campo_safe_half;30/09/2020;TERRASCOPE_S2_NDVI_V2;0.122580645
Budrio_campo_safe_half;10/10/2020;TERRASCOPE_S2_NDVI_V2;0.120258065
Budrio_campo_safe_half;15/10/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;20/10/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;25/10/2020;TERRASCOPE_S2_NDVI_V2;0.106193548
